,Name,Status,Constituency name,Constituency size,Number of electors,1-Employees' salaries,2-Service Contracts,3-Travel,Member,Designated traveller,Dependants,Employees,Member's accommodation expenses,Member's per diem expenses,Member's secondary residence expenses,4-Hospitality,5-Gifts,6-Advertising,7-Printing,Householders,Ten percenters,Other printing related expenses,8-Offices,"Constituency office leases, insurance and utilities","Furniture, furnishing and equipment purchases",Equipment rentals,Informatics and telecommunication equipment purchases,Telecommunication services,Repairs and maintenance,Postage and courier services,Materials and supplies,Training,Total
43,"Blaney,Hon. Steven",Active,Bellechasse—Les Etchemins—Lévis,"3,293km²","94,558","53,174.49",75.00,,859.11,-,-,743.25,-,589.82,"1,500.00",-,-,"19,388.62",,-,-,-,,"11,715.28",-,-,"4,438.01","1,080.57","1,464.98",5.61,862.48,-,"95,897.22"
44,"Block,Kelly",Active,Carlton Trail—Eagle Creek,"29,040km²","58,887","56,234.75",61.02,,"4,883.25",-,-,-,-,229.91,"4,078.40",-,-,"3,550.28",,-,-,-,,"18,134.12",-,381.60,26.45,802.08,806.93,25.75,834.05,-,"90,048.59"
45,"Blois,Kody",Active,Kings—Hants,"4,440km²","70,332","27,661.65","4,872.00",,-,-,-,-,-,-,-,173.39,-,517.48,,-,-,-,,"8,997.10","4,586.45",-,200.00,"1,096.02",360.82,79.56,631.08,-,"49,175.55"
46,"Boudrias,Michel",Active,Terrebonne,159km²,"89,062","64,393.64","2,809.90",,188.95,-,-,-,-,-,"7,626.21",-,"1,360.16","4,490.00",,-,-,-,,"12,885.01",-,110.06,313.92,31.38,-,-,857.92,-,"95,067.15"
47,"Boulerice,Alexandre",Active,Rosemont—La Petite-Patrie,11km²,"85,832","49,367.65","1,501.15",,931.56,82.50,-,-,-,431.53,"5,700.00",-,-,"1,706.50",,"3,672.29",-,-,,"10,239.00",-,-,-,347.50,-,-,269.40,-,"74,249.08"
48,"Bragdon,Richard",Active,Tobique—Mactaquac,"15,130km²","55,287","55,664.45",50.00,,531.10,-,-,-,-,132.41,-,-,-,750.00,,-,-,-,,"6,283.75",-,-,-,"2,054.73","1,346.20",277.52,"2,196.85",-,"69,287.01"
49,"Brassard,John",Active,Barrie—Innisfil,386km²,"87,025","48,402.42","2,578.91",,"1,793.12",-,-,-,-,773.49,"5,285.19",-,-,"1,219.00",,-,-,-,,"12,022.68",-,-,535.19,821.47,169.00,-,101.71,-,"73,702.18"
50,"Bratina,Bob",Active,Hamilton East—Stoney Creek,72km²,"85,252","55,171.69",559.44,,"1,230.02",-,-,-,-,-,"5,304.00",-,80.00,549.00,,-,-,-,,"12,074.99",-,-,-,619.01,360.82,-,454.70,-,"76,403.67"
51,"Brière,Élisabeth",Active,Sherbrooke,105km²,"89,152","55,745.57",-,,-,-,-,-,-,-,"6,900.00",-,-,"2,305.00",,"6,570.04",-,-,,"12,112.00",-,-,-,809.30,360.82,-,117.50,-,"84,920.23"
52,"Brunelle-Duceppe,Alexis",Active,Lac-Saint-Jean,"60,405km²","84,609","60,279.68",180.00,,"1,890.49",-,-,"1,487.17",-,900.40,"6,390.00",76.96,-,"14,157.50",,"8,484.75",-,-,,"7,605.00",-,-,-,367.47,897.00,625.79,277.55,-,"103,619.76"
53,"Calkins,Blaine",Active,Red Deer—Lacombe,"6,316km²","95,095","51,892.87","2,022.75",,"7,475.44",-,-,763.25,-,472.86,"5,273.29",202.02,-,"2,954.00",,-,-,-,,"4,080.42",-,-,"1,724.70","1,003.73",507.00,307.50,348.76,-,"79,028.59"
54,"Cannings,Richard",Active,South Okanagan—West Kootenay,"18,139km²","99,676","56,956.65","1,209.55",,"2,285.58",-,-,-,314.30,211.73,"7,140.00",-,-,"3,181.39",,-,-,-,,"8,976.00",179.99,-,-,"1,014.42",-,-,240.43,-,"81,710.04"
55,"Carr,Hon. Jim",Active,Winnipeg South Centre,46km²,"71,760","33,935.67","1,529.55",,-,-,-,12.30,-,-,"8,368.68",13.04,256.97,"2,225.50",,-,-,-,,"13,049.32",40.65,206.64,307.29,"1,098.06",554.82,-,501.30,-,"62,099.79"
56,"Carrie,Colin",Active,Oshawa,65km²,"101,987","49,710.30",240.00,,592.50,-,-,421.20,-,220.72,"3,050.00",-,-,"2,565.00",,-,-,-,,"11,400.00",41.88,-,"3,473.73",431.31,169.00,320.99,153.42,-,"72,790.05"
57,"Casey,Sean",Active,Charlottetown,46km²,"27,719","53,199.68",-,,-,"1,216.98",-,-,-,-,70.00,-,-,279.00,,-,"2,570.83",-,,"11,468.00",-,501.45,-,"1,060.01",360.82,178.45,245.98,-,"71,151.20"
58,"Chabot,Louise",Active,Thérèse-De Blainville,77km²,"82,756","48,286.61","2,460.00",,"1,138.41",-,-,340.77,-,284.78,-,21.80,274.93,"7,742.50",,"8,277.50","4,675.67","2,180.00",,"8,000.00",119.99,-,200.88,408.76,10.05,271.07,"2,199.57",-,"86,893.29"
59,"Chagger,Hon. Bardish",Active,Waterloo,78km²,"88,927","32,256.22",131.70,,"1,665.10",-,-,-,-,-,"3,050.00",-,-,"2,456.23",,-,-,-,,"13,024.76",-,360.70,-,741.53,360.82,-,"1,126.80",-,"55,173.86"
60,"Champagne,Hon. François-Philippe",Active,Saint-Maurice—Champlain,"38,904km²","91,779","57,034.32",200.00,,335.60,-,-,656.47,-,165.71,"7,729.68",227.27,-,-,,-,-,-,,"8,908.00",249.00,515.21,552.28,"2,759.16",529.82,-,"1,188.74",-,"81,051.26"
61,"Champoux,Martin",Active,Drummond,"1,670km²","84,074","50,062.09","1,280.00",,"2,013.62",-,-,41.78,-,"1,502.98","7,540.00",580.81,-,"4,488.00",,-,-,-,,"11,542.48",-,-,817.29,681.57,256.00,735.26,"1,125.84",-,"82,667.72"
62,"Charbonneau,Louise",Active,Trois-Rivières,133km²,"92,465","59,024.34","1,387.50",,-,-,-,-,-,-,"9,200.00",194.21,139.00,"13,154.42",,-,-,-,,"11,960.00","1,189.97",-,44.99,623.88,469.00,-,"1,218.69",-,"98,606.00"
63,"Chen,Shaun",Active,Scarborough North,32km²,"66,759","34,846.30","2,047.35",,410.22,-,-,43.30,-,291.70,"3,050.00",174.95,303.98,"3,223.50",,-,"2,479.91",-,,"7,921.08",248.58,-,634.58,"1,382.52","1,598.82",166.64,"1,897.76",-,"60,721.19"
64,"Chiu,Kenny",Active,Steveston—Richmond East,102km²,"74,428","30,636.16","2,209.00",,"8,483.27","1,128.37",956.20,-,-,"1,232.18","1,771.17",67.67,-,"1,340.16",,"2,573.28","5,882.86",-,,"13,625.72",-,-,-,393.60,"7,308.39",656.64,246.17,-,"78,510.84"
65,"Chong,Hon. Michael",Active,Wellington—Halton Hills,"1,584km²","99,113","49,402.57",-,,999.34,-,-,-,-,211.48,"4,210.23",-,-,"4,506.20",,-,"1,447.81",-,,"11,234.48",253.96,-,510.49,"1,680.48",169.00,233.40,199.89,27.64,"75,086.97"
66,"Collins,Laurel",Active,Victoria,43km²,"99,103","56,413.34",611.57,,161.12,-,-,-,-,-,"6,400.00",-,-,"15,681.43",,-,-,-,,"11,102.26",363.60,-,"4,154.99",823.50,169.00,432.87,121.16,-,"96,434.84"
67,"Cooper,Michael",Active,St. Albert—Edmonton,104km²,"93,468","56,898.08","4,492.48",,"6,770.22",-,-,-,-,-,"7,756.00",-,-,"1,966.80",,-,-,-,,"10,210.92",-,-,"1,404.00",537.83,-,12.08,394.88,-,"90,443.29"
68,"Cormier,Serge",Active,Acadie—Bathurst,"5,183km²","66,937","58,256.69",327.71,,-,-,-,62.34,-,-,-,-,150.00,"2,074.20",,-,-,-,,"6,771.60",-,-,-,748.20,360.82,88.16,87.43,-,"68,927.15"
69,"Cumming,James",Active,Edmonton Centre,46km²,"83,112","46,823.36","1,345.60",,"2,352.48",-,-,-,-,589.82,"6,619.98",-,-,225.00,,-,-,-,,"14,529.28",-,-,945.26,595.27,-,-,130.17,-,"74,156.22"
70,"Dabrusin,Julie",Active,Toronto—Danforth,26km²,"82,703","58,233.42",600.00,,-,-,-,-,-,-,-,-,-,852.44,,-,-,-,,"10,228.39",-,-,-,"1,544.30",360.82,273.44,"4,509.31",-,"76,602.12"
71,"Dalton,Marc",Active,Pitt Meadows—Maple Ridge,"2,141km²","80,494","46,886.63",559.97,,"2,256.74","4,874.42",-,"1,738.94",-,-,"8,216.00",182.16,-,"2,211.64",,-,"1,558.57",203.35,,"14,410.88",-,-,740.40,440.20,387.63,461.09,721.58,-,"85,850.20"
72,"Damoff,Pam",Active,Oakville North—Burlington,92km²,"97,696","60,417.56","9,803.52",,102.94,-,-,-,-,-,"7,665.98",-,-,699.06,,"3,300.00",-,-,,"11,000.00",-,-,265.34,455.41,360.82,-,428.97,-,"94,499.60"
73,"Dancho,Raquel",Active,Kildonan—St. Paul,172km²,"66,290","43,487.82",570.00,,"4,203.32",-,-,-,-,-,"5,700.00",93.75,-,"3,349.16",,-,-,-,,"15,641.22","6,669.23",-,-,614.99,-,46.69,"3,390.34",-,"83,766.52"
74,"Davidson,Scot",Active,York—Simcoe,844km²,"89,556","40,591.83","1,619.86",,"2,307.09",-,-,-,-,"1,409.81","2,116.75",-,-,"2,278.50",,-,-,-,,"8,644.02",409.99,200.00,-,"1,135.26",-,-,"1,763.88",-,"62,476.99"
75,"Davies,Don",Active,Vancouver Kingsway,15km²,"76,039","45,793.98",270.26,,-,-,-,-,-,-,"1,660.93",-,-,775.00,,"2,054.72",-,-,,"16,383.28",-,-,"4,606.90",825.50,-,311.30,-,-,"72,681.87"
76,"DeBellefeuille,Claude",Active,Salaberry—Suroît,"2,271km²","96,039","49,951.30","1,347.50",,748.32,-,-,-,-,688.12,"4,400.00",79.26,25.00,"7,579.00",,"3,531.82",-,-,,"11,400.00",397.00,-,44.10,763.79,-,471.40,694.20,-,"82,120.81"
77,"Deltell,Gérard",Active,Louis-Saint-Laurent,141km²,"94,851","51,390.81",-,,"1,381.89",-,-,-,-,855.89,"4,757.25",-,-,"5,315.00",,-,-,-,,"14,660.00",-,-,"6,140.00","3,007.68",-,-,-,-,"87,508.52"
78,"d'Entremont,Chris",Active,West Nova,"9,965km²","70,143","45,341.77",787.97,,"2,099.01",-,-,654.56,-,478.48,"8,000.00",126.86,-,"2,660.82",,"1,525.24",-,80.00,,"8,990.69",-,-,-,782.54,-,-,"2,587.30",-,"74,115.24"
79,"Desbiens,Caroline",Active,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,"11,634km²","76,657","43,936.02",-,,-,-,-,-,-,-,-,22.78,-,"9,479.44",,"1,046.23",-,115.00,,"14,318.80",-,-,"3,693.54",533.85,169.00,309.74,288.77,-,"73,913.17"
80,"Desilets,Luc",Active,Rivière-des-Mille-Îles,117km²,"82,372","52,807.81",325.00,,850.70,-,-,-,-,"1,164.19","7,240.00",160.00,55.00,"11,529.46",,"5,495.00",-,255.00,,"8,688.40",-,-,-,164.75,"2,991.25",-,"1,895.02",-,"93,621.58"
81,"Dhaliwal,Sukh",Active,Surrey—Newton,30km²,"67,763","42,417.31","7,695.00",,-,-,-,478.10,-,-,"7,200.00",-,-,"1,740.68",,"6,237.68","2,817.59",-,,"12,226.21",653.00,-,-,651.72,360.82,155.22,591.92,-,"83,225.25"
82,"Dhillon,Anju",Active,Dorval—Lachine—LaSalle,51km²,"85,550","51,499.16",-,,"1,159.90",-,-,-,-,-,"8,237.88",-,-,"1,264.00",,-,-,-,,"7,156.50",-,-,-,365.68,360.82,-,-,-,"70,043.94"
83,"Diotte,Kerry",Active,Edmonton Griesbach,46km²,"83,188","47,133.19",674.74,,"5,896.60",-,-,-,-,-,"4,417.80",-,-,49.99,,"6,694.17",-,-,,"7,980.00",-,-,744.98,630.31,177.96,-,198.71,-,"74,598.45"
84,"Doherty,Todd",Active,Cariboo—Prince George,"83,193km²","84,968","58,647.70",-,,"10,263.60",-,"1,308.84",-,748.21,840.13,"8,594.64","1,695.16",-,340.25,,-,-,-,,"2,850.00",-,447.01,"15,238.57","1,707.44","1,367.88",-,383.10,-,"104,432.53"
85,"Dong,Han",Active,Don Valley North,26km²,"76,151","49,931.24","4,343.15",,-,897.00,-,-,-,-,"7,100.00",-,-,708.63,,"8,700.90",-,-,,"16,110.00",-,-,388.00,571.10,360.83,274.52,-,-,"89,385.37"
86,"Dowdall,Terry",Active,Simcoe—Grey,"1,950km²","115,604","42,858.99",300.00,,533.00,-,-,-,-,393.21,"5,200.00",-,-,"2,137.00",,-,-,-,,"11,969.77",-,-,-,359.95,"5,575.00",-,-,-,"69,326.92"
87,"Dreeshen,Earl",Active,Red Deer—Mountain View,"7,659km²","90,857","46,488.78",889.80,,"1,128.37",-,-,-,-,-,"3,050.00",-,-,"4,187.75",,-,-,-,,"11,725.72",-,750.00,"1,440.00",527.07,-,-,100.24,-,"70,287.73"
88,"Drouin,Francis",Active,Glengarry—Prescott—Russell,"3,018km²","92,555","50,652.41","6,400.00",,666.04,-,-,-,-,-,-,-,-,"5,269.30",,-,-,-,,"9,772.27",-,-,89.98,890.58,698.83,-,219.34,-,"74,658.75"
89,"Dubourg,Emmanuel",Active,Bourassa,14km²,"70,287","51,316.70",138.31,,-,-,-,265.35,-,-,"3,107.27",733.95,304.45,"2,500.96",,-,-,202.00,,"17,351.69",483.41,-,-,557.45,"1,010.83",-,505.25,-,"78,477.62"
90,"Duclos,Hon. Jean-Yves",Active,Québec,36km²,"79,186","55,537.09",-,,"1,759.29",-,-,-,-,-,"6,900.00",-,"4,148.88",170.00,,-,-,-,,"14,576.80",-,-,-,"1,176.42",360.83,-,"2,319.60",-,"86,948.91"
91,"Duguid,Terry",Active,Winnipeg South,105km²,"69,567","50,335.93",-,,750.70,507.68,-,-,-,-,-,-,-,"2,695.01",,-,-,-,,"9,404.30",189.99,-,100.00,708.94,360.83,-,279.96,-,"65,333.34"
92,"Duncan,Eric",Active,Stormont—Dundas—South Glengarry,"2,765km²","84,983","53,213.24",240.66,,-,-,-,-,-,-,-,-,-,-,,-,-,450.00,,"13,187.00",-,-,142.73,378.30,-,275.35,33.00,-,"67,920.28"
93,"Duncan,Hon. Kirsty",Active,Etobicoke North,51km²,"75,415","56,349.68",798.33,,434.96,-,-,-,-,41.43,187.82,-,-,-,,-,-,-,,"11,559.15",-,-,-,398.84,"1,814.83",-,-,-,"71,585.04"
94,"Duvall,Scott",Active,Hamilton Mountain,35km²,"81,698","48,286.60","3,210.00",,"1,368.05",558.02,-,"1,534.50",-,983.04,"7,177.10",-,-,"1,456.37",,-,-,-,,"7,681.91",-,-,"1,724.54","2,371.87",169.00,15.91,-,-,"76,536.91"
