,Name,Status,Constituency name,Constituency size,Number of electors,1-Employees' salaries,2-Service Contracts,3-Travel,Member,Designated traveller,Dependants,Employees,Member's accommodation expenses,Member's per diem expenses,Member's secondary residence expenses,4-Hospitality,5-Gifts,6-Advertising,7-Printing,Householders,Ten percenters,Other printing related expenses,8-Offices,"Constituency office leases, insurance and utilities","Furniture, furnishing and equipment purchases",Equipment rentals,Informatics and telecommunication equipment purchases,Telecommunication services,Repairs and maintenance,Postage and courier services,Materials and supplies,Training,Total
300,"Sweet,David",Active,Flamborough—Glanbrook,941km²,"89,823","55,359.01","10,396.00",,"1,773.05",503.97,-,-,-,876.07,"9,036.06",-,-,270.00,,-,-,-,,"6,466.74",-,-,"1,591.00",918.28,-,251.60,242.84,-,"87,684.62"
301,"Tabbara,Marwan",Active,Kitchener South—Hespeler,111km²,"80,150","53,173.87",715.00,,-,-,-,-,-,-,-,-,-,"6,541.16",,-,-,-,,"12,174.78",-,-,"2,905.75",631.75,360.83,-,121.41,27.64,"76,652.19"
302,"Tassi,Hon. Filomena",Active,Hamilton West—Ancaster—Dundas,110km²,"89,679","42,902.73","9,328.00",,"1,481.18","1,148.16",-,-,-,-,"8,536.00",-,-,"4,558.00",,-,-,-,,"10,807.97",-,-,44.99,696.21,779.83,-,390.20,-,"80,673.27"
303,"Thériault,Luc",Active,Montcalm,906km²,"88,809","47,113.64",528.48,,-,-,-,-,-,-,"7,280.68",-,116.00,"6,396.00",,-,-,-,,"10,200.00",-,-,-,846.68,-,283.72,-,-,"72,765.20"
304,"Therrien,Alain",Active,La Prairie,295km²,"87,062","55,002.63",105.00,,"2,157.06",-,-,-,-,"1,686.36","1,418.02",-,-,650.00,,-,-,-,,"7,500.00",-,-,-,739.37,756.00,-,111.98,-,"70,126.42"
305,"Tochor,Corey",Active,Saskatoon—University,71km²,"62,012","39,639.95",722.99,,-,-,-,-,-,-,-,198.56,81.57,"7,488.00",,-,-,-,,"14,670.59",822.21,-,20.54,893.56,-,381.17,466.45,-,"65,385.59"
306,"Trudeau,Right Hon. Justin",Active,Papineau,10km²,"77,341","41,665.06",107.70,,-,-,-,-,-,-,-,-,-,"6,358.86",,-,-,-,,"13,673.28",-,-,-,389.64,360.83,-,43.84,-,"62,599.21"
307,"Trudel,Denis",Active,Longueuil—Saint-Hubert,56km²,"87,319","42,217.84",-,,-,-,-,-,-,-,"7,440.00",553.00,-,"2,999.58",,-,-,-,,"12,472.00",-,-,917.48,551.02,-,324.97,723.49,-,"68,199.38"
308,"Turnbull,Ryan",Active,Whitby,155km²,"98,572","44,721.72","7,916.86",,-,-,-,-,-,-,-,-,-,"1,163.35",,-,-,-,,"9,831.30",-,-,-,847.44,529.83,-,"1,120.14",-,"66,130.64"
309,"Uppal,Hon. Tim",Active,Edmonton Mill Woods,50km²,"78,601","58,707.72",280.00,,"3,385.11",-,-,-,-,-,-,-,-,"4,965.00",,-,-,-,,"12,800.00",-,-,517.49,760.84,-,125.34,"1,180.46",-,"82,721.96"
310,"Van Bynen,Tony",Active,Newmarket—Aurora,62km²,"91,880","55,821.68","2,250.00",,-,-,-,-,-,-,"8,800.00",-,-,"5,300.00",,-,-,-,,"10,952.00",-,-,294.63,"1,340.65",698.83,429.53,"2,073.10",-,"87,960.42"
311,"van Koeverden,Adam",Active,Milton,472km²,"85,353","45,549.63",-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,,"14,000.00",-,-,-,915.14,360.83,304.69,16.50,-,"61,146.79"
312,"Van Popta,Tako",Active,Langley—Aldergrove,382km²,"93,499","54,247.62",456.25,,"3,354.29",-,-,-,-,-,"7,521.43",-,-,"3,477.10",,-,-,-,,"13,711.68",-,32.71,"2,815.22",499.58,524.68,270.83,-,-,"86,911.39"
313,"Vandal,Hon. Dan",Active,Saint Boniface—Saint Vital,65km²,"68,631","46,593.12",200.00,,"3,028.70",-,-,-,-,340.67,"7,800.00",-,-,"4,247.49",,"5,823.75",-,-,,"14,624.50",-,-,-,569.65,595.77,-,960.45,-,"84,784.10"
314,"Vandenbeld,Anita",Active,Ottawa West—Nepean,71km²,"87,394","54,056.60",928.97,,-,-,-,-,-,-,-,-,-,488.35,,"3,278.86",-,-,,"10,324.71",-,-,500.00,679.33,360.83,-,-,-,"70,617.65"
315,"Vaughan,Adam",Active,Spadina—Fort York,21km²,"93,251","52,487.43",300.00,,-,-,-,-,-,-,-,-,-,-,,-,-,-,,"10,100.00",-,-,-,429.53,360.83,415.90,-,-,"64,093.69"
316,"Vecchio,Karen",Active,Elgin—Middlesex—London,"2,640km²","94,026","59,374.71","2,032.98",,"2,311.04",-,-,701.73,-,364.33,"6,960.00",-,-,"16,271.96",,-,-,-,,"6,080.00",-,-,468.85,"2,863.56",250.17,17.02,"1,621.81",-,"99,318.16"
317,"Vidal,Gary",Active,Desnethé—Missinippi—Churchill River,"342,903km²","47,985","53,031.90",-,,"1,800.70",-,-,781.55,-,236.57,"8,400.00",-,-,"7,437.28",,"5,517.00",-,-,,"4,400.00",-,-,"2,543.58","2,558.64",628.00,-,"2,629.85",-,"89,965.07"
318,"Viersen,Arnold",Active,Peace River—Westlock,"105,924km²","75,814","61,831.45",763.99,,"1,912.40",-,-,-,-,-,"7,600.00",-,-,"4,085.25",,"6,206.50",-,-,,"7,340.35",-,-,"1,604.00",455.86,-,-,16.50,-,"91,816.30"
319,"Vignola,Julie",Active,Beauport—Limoilou,35km²,"78,080","52,294.18","7,543.00",,422.10,-,-,-,-,119.96,318.17,213.98,-,"8,769.99",,"5,178.45","2,567.38",-,,"8,708.32",131.70,-,60.79,500.50,"1,270.39",358.83,471.24,90.00,"89,018.98"
320,"Virani,Arif",Active,Parkdale—High Park,16km²,"84,479","53,764.15","6,386.20",,-,-,-,-,-,-,"8,030.73",-,-,"1,606.80",,"3,143.46",-,-,,"9,279.37",-,-,-,"1,032.45",360.83,-,-,-,"83,603.99"
321,"Vis,Brad",Active,Mission—Matsqui—Fraser Canyon,"21,769km²","69,969","46,920.32","1,405.54",,"1,357.50","2,256.74",956.20,337.12,-,36.49,"6,051.70",95.57,-,"7,180.09",,-,-,449.40,,"11,125.24",-,-,996.11,619.90,169.00,490.55,332.52,-,"80,779.99"
322,"Wagantall,Cathay",Active,Yorkton—Melville,"43,272km²","53,643","65,757.97",290.40,,"3,382.87","5,339.52",-,-,-,-,"8,174.53",-,-,"3,458.84",,-,-,-,,"8,844.27",-,-,101.32,"1,149.90","1,423.58",-,433.19,-,"98,356.39"
323,"Warkentin,Chris",Active,Grande Prairie—Mackenzie,"109,194km²","86,736","45,883.50","1,117.23",,"3,317.93",691.77,-,-,-,-,-,77.98,-,336.00,,-,-,-,,"17,193.57",-,-,"5,558.26",575.25,540.70,-,626.38,-,"75,918.57"
324,"Waugh,Kevin",Active,Saskatoon—Grasswood,342km²,"64,874","53,280.32",654.47,,"3,125.23",-,-,-,132.65,702.14,"3,749.92",-,-,"10,029.50",,-,-,-,,"10,702.97",-,-,"1,458.63",657.34,-,-,532.84,-,"85,026.01"
325,"Webber,Len",Active,Calgary Confederation,54km²,"93,160","65,216.14",449.00,,442.40,-,-,-,-,-,"7,109.22",-,-,-,,"7,339.22",-,-,,"16,865.35",-,-,-,534.82,-,-,64.16,-,"98,020.31"
326,"Weiler,Patrick",Active,West Vancouver—Sunshine Coast—Sea to Sky Country,"13,237km²","95,395","54,100.44",212.49,,-,-,-,-,-,-,"8,936.45",-,-,"1,481.12",,-,-,-,,"4,185.26",80.24,-,200.00,"1,011.04",360.83,29.22,"1,173.58",-,"71,770.67"
327,"Wilkinson,Hon. Jonathan",Active,North Vancouver,342km²,"88,874","52,213.59","2,275.00",,"2,270.07",-,-,"1,434.30",-,-,"5,302.54",-,-,"4,108.80",,"10,174.75",-,-,,"19,394.20",-,920.00,-,699.68,"2,996.18",-,"2,125.40",-,"103,914.51"
328,"Williamson,John",Active,New Brunswick Southwest,"10,770km²","53,889","55,969.39",-,,670.84,-,-,-,141.11,"4,375.85","3,263.90",-,-,-,,-,-,-,,"7,144.92",-,-,-,297.37,-,25.68,692.63,-,"72,581.69"
329,"Wilson-Raybould,Hon. Jody",Active,Vancouver Granville,23km²,"82,985","39,979.83",155.84,,"1,685.25",-,-,-,-,202.81,"3,211.90",-,-,"1,867.00",,-,-,-,,"27,166.68",-,-,-,"1,142.56",-,-,12.00,-,"75,423.87"
330,"Wong,Hon. Alice",Active,Richmond Centre,49km²,"73,975","45,130.49","6,400.00",,-,-,-,-,-,-,"7,467.96",-,-,240.00,,-,-,-,,"15,825.30",324.21,11.97,"5,596.00","1,350.78",-,-,19.80,-,"82,366.51"
331,"Yip,Jean",Active,Scarborough—Agincourt,22km²,"71,907","42,585.42","1,980.00",,35.71,-,-,-,-,-,-,-,-,"1,428.83",,"3,650.00",-,-,,"16,111.98",-,-,57.98,764.88,360.83,-,-,-,"66,975.63"
332,"Young,Kate",Active,London West,82km²,"100,387","54,077.81","8,595.86",,-,-,-,-,-,-,-,-,-,"6,525.84",,-,-,"2,157.64",,"9,600.00",154.94,61.11,-,747.43,360.83,-,-,-,"82,281.46"
333,"Yurdiga,David",Active,Fort McMurray—Cold Lake,"147,412km²","79,222","57,936.69",-,,413.08,-,-,524.80,-,317.61,"7,211.97",-,383.70,"1,000.00",,"11,997.60",-,-,,"22,788.00",-,-,"2,626.00","1,012.18",-,-,353.88,-,"106,565.51"
334,"Zahid,Salma",Active,Scarborough Centre,30km²,"76,698","52,162.02",145.26,,-,-,-,-,-,-,"7,076.41",-,-,"4,547.75",,"4,190.00",-,165.00,,"11,923.49",-,-,60.00,"1,044.57",360.83,-,-,-,"81,675.33"
335,"Zann,Lenore",Active,Cumberland—Colchester,"8,269km²","66,967","50,491.21",185.00,,-,-,-,-,-,-,-,-,-,"1,893.74",,-,-,86.89,,"11,200.00",-,-,119.99,407.93,360.83,-,106.86,-,"64,852.45"
336,"Zimmer,Bob",Active,Prince George—Peace River—Northern Rockies,"243,276km²","81,094","65,630.45","1,297.14",,"14,327.54",-,661.12,"3,796.55",-,"1,762.38",730.30,226.28,-,"2,487.61",,-,-,-,,"6,800.00","1,614.25",192.67,938.10,"3,144.65","2,745.40",45.37,"1,089.50",-,"107,489.31"
337,"Zuberi,Sameer",Active,Pierrefonds—Dollard,53km²,"83,562","42,490.23",60.00,,168.90,-,-,868.36,-,388.57,616.98,160.50,-,"1,491.96",,-,-,-,,"14,781.52",-,-,"9,257.68",399.77,360.83,-,-,-,"71,045.30"
